
Threshold: 0.9950
Number of Result Clusters, 13
Largest Cluster, "Cluster 9"
Largest Cluster Size, 5

Cluster 1, Ck-018
Cluster 1, Ck-026
Cluster 2, Ck-017
Cluster 3, Cw-960
Cluster 4, Cw-209
Cluster 5, Cw-512
Cluster 6, Cw-458
Cluster 7, Cw-1001
Cluster 8, Cw-710
Cluster 9, Cw-1105
Cluster 9, Cw-1070
Cluster 9, Cw-1117
Cluster 9, Cw-1069
Cluster 9, Cw-1120
Cluster 10, Cw-819
Cluster 16, Cw-956
Cluster 17, Cw-937
Cluster 18, Cw-955

Threshold: 0.9900
Number of Result Clusters, 10
Largest Cluster, "Cluster 9"
Largest Cluster Size, 5

Cluster 1, Ck-018
Cluster 1, Ck-017
Cluster 1, Ck-026
Cluster 3, Cw-960
Cluster 4, Cw-209
Cluster 5, Cw-512
Cluster 6, Cw-458
Cluster 7, Cw-1001
Cluster 8, Cw-710
Cluster 9, Cw-1105
Cluster 9, Cw-1070
Cluster 9, Cw-1117
Cluster 9, Cw-1069
Cluster 9, Cw-1120
Cluster 10, Cw-819
Cluster 16, Cw-956
Cluster 16, Cw-937
Cluster 16, Cw-955
