,"111-1","111-2","111-3","111-4","111-5","111-6","111-7","111-8","112-1","112-2","112-3","112-4","112-5","112-6","112-7","112-8","121-1","121-2","121-3","121-4","121-5","121-6","121-7","121-8","122-1","122-2","122-3","122-4","122-5","122-6","122-7","122-8","211-1","211-2","211-3","211-4","211-5","211-6","211-7","211-8","212-1","212-2","212-3","212-4","212-5","212-6","212-7","212-8","221-1","221-2","221-3","221-4","221-5","221-6","221-7","221-8","222-1","222-2","222-3","222-4","222-5","222-6","222-7","222-8","311-1","311-2","311-3","311-4","311-5","311-6","311-7","311-8","312-1","312-2","312-3","312-4","312-5","312-6","312-7","312-8","321-1","321-2","321-3","321-4","321-5","321-6","321-7","321-8","322-1","322-2","322-3","322-4","322-5","322-6","322-7","322-8","411-1","411-2","411-3","411-4","411-5","411-6","411-7","411-8","412-1","412-2","412-3","412-4","412-5","412-6","412-7","412-8","421-1","421-2","421-3","421-4","421-5","421-6","421-7","421-8","422-1","422-2","422-3","422-4","422-5","422-6","422-7","422-8","511-1","511-2","511-3","511-4","511-5","511-6","511-7","511-8","512-1","512-2","512-3","512-4","512-5","512-6","512-7","512-8","521-1","521-2","521-3","521-4","521-5","521-6","521-7","521-8","522-1","522-2","522-3","522-4","522-5","522-6","522-7","522-8","611-1","611-2","611-3","611-4","611-5","611-6","611-7","611-8","612-1","612-2","612-3","612-4","612-5","612-6","612-7","612-8","621-1","621-2","621-3","621-4","621-5","621-6","621-7","621-8","622-1","622-2","622-3","622-4","622-5","622-6","622-7","622-8"
"111-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"111-2",99.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"111-3",99.62,99.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"111-4",99.65,99.81,99.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"111-5",98.5,99.16,99.38,99.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"111-6",99.42,99.61,99.73,99.42,99.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"111-7",99.81,99.59,99.42,99.09,97.9,99.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"111-8",99.67,99.68,99.88,99.29,98.94,99.57,99.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"112-1",99.32,99.64,99.66,99.76,99.6,99.55,98.72,99.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"112-2",99.81,99.98,99.86,99.73,99.23,99.66,99.61,99.78,99.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
